,time,type,city,epa_app,moea_app,moea_amt,epa_amt,local_amt
0,2012-09-01,New Purchase,Taipei City,,18.0,10000,,
1,2012-09-01,Elimination and Purchase,Taipei City,,19.0,10000,,
2,2012-09-01,Elimination,Taipei City,,0.0,10000,,
3,2012-09-01,New Purchase,Taichung City,,45.0,10000,,
4,2012-09-01,Elimination and Purchase,Taichung City,,45.0,10000,,
5,2012-09-01,Elimination,Taichung City,,0.0,10000,,
6,2012-09-01,New Purchase,Keelung City,,4.0,10000,,
7,2012-09-01,Elimination and Purchase,Keelung City,,4.0,10000,,
8,2012-09-01,Elimination,Keelung City,,0.0,10000,,
9,2012-09-01,New Purchase,Tainan City,,12.0,10000,,
10,2012-09-01,Elimination and Purchase,Tainan City,,13.0,10000,,
11,2012-09-01,Elimination,Tainan City,,0.0,10000,,
12,2012-09-01,New Purchase,Kaohsiung City,,46.0,10000,,
13,2012-09-01,Elimination and Purchase,Kaohsiung City,,47.0,10000,,
14,2012-09-01,Elimination,Kaohsiung City,,0.0,10000,,
15,2012-09-01,New Purchase,Taoyuan City,,99.0,10000,,
16,2012-09-01,Elimination and Purchase,Taoyuan City,,99.0,10000,,
17,2012-09-01,Elimination,Taoyuan City,,0.0,10000,,
18,2012-09-01,New Purchase,Chiayi City,,4.0,10000,,
19,2012-09-01,Elimination and Purchase,Chiayi City,,5.0,10000,,
20,2012-09-01,Elimination,Chiayi City,,0.0,10000,,
21,2012-09-01,New Purchase,Miaoli County,,9.0,10000,,
22,2012-09-01,Elimination and Purchase,Miaoli County,,9.0,10000,,
23,2012-09-01,Elimination,Miaoli County,,0.0,10000,,
24,2012-09-01,New Purchase,Nantou County,,0.0,10000,,
25,2012-09-01,Elimination and Purchase,Nantou County,,1.0,10000,,
26,2012-09-01,Elimination,Nantou County,,0.0,10000,,
27,2012-09-01,New Purchase,Changhua County,,16.0,10000,,
28,2012-09-01,Elimination and Purchase,Changhua County,,16.0,10000,,
29,2012-09-01,Elimination,Changhua County,,0.0,10000,,
30,2012-09-01,New Purchase,Hsinchu City,,8.0,10000,,
31,2012-09-01,Elimination and Purchase,Hsinchu City,,7.0,10000,,
32,2012-09-01,Elimination,Hsinchu City,,0.0,10000,,
33,2012-09-01,New Purchase,Yunlin County,,4.0,10000,,
34,2012-09-01,Elimination and Purchase,Yunlin County,,3.0,10000,,
35,2012-09-01,Elimination,Yunlin County,,0.0,10000,,
36,2012-09-01,New Purchase,Chiayi County,,1.0,10000,,
37,2012-09-01,Elimination and Purchase,Chiayi County,,1.0,10000,,
38,2012-09-01,Elimination,Chiayi County,,0.0,10000,,
39,2012-09-01,New Purchase,Pingtung County,,7.0,10000,,
40,2012-09-01,Elimination and Purchase,Pingtung County,,7.0,10000,,
41,2012-09-01,Elimination,Pingtung County,,0.0,10000,,
42,2012-09-01,New Purchase,Hualien County,,1.0,10000,,
43,2012-09-01,Elimination and Purchase,Hualien County,,1.0,10000,,
44,2012-09-01,Elimination,Hualien County,,0.0,10000,,
45,2012-09-01,New Purchase,Kinmen County,,12.0,10000,,
46,2012-09-01,Elimination and Purchase,Kinmen County,,11.0,10000,,
47,2012-09-01,Elimination,Kinmen County,,0.0,10000,,
48,2012-09-01,New Purchase,Penghu County,,20.0,10000,,
49,2012-09-01,Elimination and Purchase,Penghu County,,21.0,10000,,
50,2012-09-01,Elimination,Penghu County,,0.0,10000,,
51,2012-10-01,New Purchase,Taipei City,,24.0,10000,,
52,2012-10-01,Elimination and Purchase,Taipei City,,25.0,10000,,
53,2012-10-01,Elimination,Taipei City,,0.0,10000,,
54,2012-10-01,New Purchase,Taichung City,,60.0,10000,,
55,2012-10-01,Elimination and Purchase,Taichung City,,60.0,10000,,
56,2012-10-01,Elimination,Taichung City,,0.0,10000,,
57,2012-10-01,New Purchase,Tainan City,,26.0,10000,,
58,2012-10-01,Elimination and Purchase,Tainan City,,26.0,10000,,
59,2012-10-01,Elimination,Tainan City,,0.0,10000,,
60,2012-10-01,New Purchase,Kaohsiung City,,91.0,10000,,
61,2012-10-01,Elimination and Purchase,Kaohsiung City,,91.0,10000,,
62,2012-10-01,Elimination,Kaohsiung City,,0.0,10000,,
63,2012-10-01,New Purchase,Yilan County,,1.0,10000,,
64,2012-10-01,Elimination and Purchase,Yilan County,,1.0,10000,,
65,2012-10-01,Elimination,Yilan County,,0.0,10000,,
66,2012-10-01,New Purchase,Taoyuan City,,38.0,10000,,
67,2012-10-01,Elimination and Purchase,Taoyuan City,,38.0,10000,,
68,2012-10-01,Elimination,Taoyuan City,,0.0,10000,,
69,2012-10-01,New Purchase,Chiayi City,,10.0,10000,,
70,2012-10-01,Elimination and Purchase,Chiayi City,,9.0,10000,,
71,2012-10-01,Elimination,Chiayi City,,0.0,10000,,
