time,type,city,epa_app
2015/8/1,汰舊,台北市,4
2015/8/1,汰舊,新北市,1311
2015/8/1,汰舊,桃園市,830
2015/8/1,汰舊,台中市,0
2015/8/1,汰舊,台南市,3
2015/8/1,汰舊,高雄市,2900
2015/8/1,汰舊,宜蘭縣,218
2015/8/1,汰舊,新竹縣,146
2015/8/1,汰舊,苗栗縣,135
2015/8/1,汰舊,彰化縣,602
2015/8/1,汰舊,南投縣,77
2015/8/1,汰舊,雲林縣,456
2015/8/1,汰舊,嘉義縣,2
2015/8/1,汰舊,屏東縣,163
2015/8/1,汰舊,台東縣,0
2015/8/1,汰舊,花蓮縣,0
2015/8/1,汰舊,澎湖縣,0
2015/8/1,汰舊,基隆市,83
2015/8/1,汰舊,新竹市,98
2015/8/1,汰舊,嘉義市,68
2015/8/1,汰舊,金門縣,18
2015/8/1,汰舊,連江縣,0
2015/8/1,新購,台北市,0
2015/8/1,新購,新北市,31
2015/8/1,新購,桃園市,20
2015/8/1,新購,台中市,0
2015/8/1,新購,台南市,0
2015/8/1,新購,高雄市,0
2015/8/1,新購,宜蘭縣,0
2015/8/1,新購,新竹縣,1
2015/8/1,新購,苗栗縣,0
2015/8/1,新購,彰化縣,0
2015/8/1,新購,南投縣,0
2015/8/1,新購,雲林縣,2
2015/8/1,新購,嘉義縣,0
2015/8/1,新購,屏東縣,1
2015/8/1,新購,台東縣,111
2015/8/1,新購,花蓮縣,0
2015/8/1,新購,澎湖縣,0
2015/8/1,新購,基隆市,0
2015/8/1,新購,新竹市,0
2015/8/1,新購,嘉義市,2
2015/8/1,新購,金門縣,0
2015/8/1,新購,連江縣,0
2015/8/1,汰舊換新,台北市,1
2015/8/1,汰舊換新,新北市,6
2015/8/1,汰舊換新,桃園市,21
2015/8/1,汰舊換新,台中市,0
2015/8/1,汰舊換新,台南市,0
2015/8/1,汰舊換新,高雄市,1
2015/8/1,汰舊換新,宜蘭縣,0
2015/8/1,汰舊換新,新竹縣,0
2015/8/1,汰舊換新,苗栗縣,0
2015/8/1,汰舊換新,彰化縣,0
2015/8/1,汰舊換新,南投縣,0
2015/8/1,汰舊換新,雲林縣,6
2015/8/1,汰舊換新,嘉義縣,0
2015/8/1,汰舊換新,屏東縣,1
2015/8/1,汰舊換新,台東縣,0
2015/8/1,汰舊換新,花蓮縣,0
2015/8/1,汰舊換新,澎湖縣,0
2015/8/1,汰舊換新,基隆市,0
2015/8/1,汰舊換新,新竹市,0
2015/8/1,汰舊換新,嘉義市,0
2015/8/1,汰舊換新,金門縣,0
2015/8/1,汰舊換新,連江縣,0
2015/9/1,汰舊,台北市,0
2015/9/1,汰舊,新北市,1013
2015/9/1,汰舊,桃園市,893
2015/9/1,汰舊,台中市,0
2015/9/1,汰舊,台南市,11
2015/9/1,汰舊,高雄市,2301
2015/9/1,汰舊,宜蘭縣,213
2015/9/1,汰舊,新竹縣,148
2015/9/1,汰舊,苗栗縣,120
2015/9/1,汰舊,彰化縣,358
2015/9/1,汰舊,南投縣,299
2015/9/1,汰舊,雲林縣,366
2015/9/1,汰舊,嘉義縣,74
2015/9/1,汰舊,屏東縣,324
2015/9/1,汰舊,台東縣,0
2015/9/1,汰舊,花蓮縣,0
2015/9/1,汰舊,澎湖縣,2
2015/9/1,汰舊,基隆市,74
2015/9/1,汰舊,新竹市,108
2015/9/1,汰舊,嘉義市,159
2015/9/1,汰舊,金門縣,10
2015/9/1,汰舊,連江縣,0
2015/9/1,新購,台北市,9
2015/9/1,新購,新北市,81
2015/9/1,新購,桃園市,29
2015/9/1,新購,台中市,0
2015/9/1,新購,台南市,0
2015/9/1,新購,高雄市,0
2015/9/1,新購,宜蘭縣,1
2015/9/1,新購,新竹縣,0
2015/9/1,新購,苗栗縣,0
2015/9/1,新購,彰化縣,9
2015/9/1,新購,南投縣,1
2015/9/1,新購,雲林縣,4
2015/9/1,新購,嘉義縣,1
2015/9/1,新購,屏東縣,2
2015/9/1,新購,台東縣,37
2015/9/1,新購,花蓮縣,0
2015/9/1,新購,澎湖縣,0
2015/9/1,新購,基隆市,1
2015/9/1,新購,新竹市,4
2015/9/1,新購,嘉義市,2
2015/9/1,新購,金門縣,0
2015/9/1,新購,連江縣,0
2015/9/1,汰舊換新,台北市,5
2015/9/1,汰舊換新,新北市,6
2015/9/1,汰舊換新,桃園市,18
2015/9/1,汰舊換新,台中市,0
2015/9/1,汰舊換新,台南市,0
2015/9/1,汰舊換新,高雄市,10
2015/9/1,汰舊換新,宜蘭縣,0
2015/9/1,汰舊換新,新竹縣,1
2015/9/1,汰舊換新,苗栗縣,0
2015/9/1,汰舊換新,彰化縣,7
2015/9/1,汰舊換新,南投縣,1
2015/9/1,汰舊換新,雲林縣,8
2015/9/1,汰舊換新,嘉義縣,2
2015/9/1,汰舊換新,屏東縣,2
2015/9/1,汰舊換新,台東縣,0
2015/9/1,汰舊換新,花蓮縣,0
2015/9/1,汰舊換新,澎湖縣,2
2015/9/1,汰舊換新,基隆市,0
2015/9/1,汰舊換新,新竹市,1
2015/9/1,汰舊換新,嘉義市,4
2015/9/1,汰舊換新,金門縣,0
2015/9/1,汰舊換新,連江縣,0
2015/10/1,汰舊,台北市,4
2015/10/1,汰舊,新北市,1362
2015/10/1,汰舊,桃園市,1033
2015/10/1,汰舊,台中市,387
2015/10/1,汰舊,台南市,2089
2015/10/1,汰舊,高雄市,2044
2015/10/1,汰舊,宜蘭縣,203
2015/10/1,汰舊,新竹縣,104
2015/10/1,汰舊,苗栗縣,134
2015/10/1,汰舊,彰化縣,272
2015/10/1,汰舊,南投縣,153
2015/10/1,汰舊,雲林縣,480
2015/10/1,汰舊,嘉義縣,305
2015/10/1,汰舊,屏東縣,348
2015/10/1,汰舊,台東縣,0
2015/10/1,汰舊,花蓮縣,0
2015/10/1,汰舊,澎湖縣,15
2015/10/1,汰舊,基隆市,78
2015/10/1,汰舊,新竹市,106
2015/10/1,汰舊,嘉義市,273
2015/10/1,汰舊,金門縣,6
2015/10/1,汰舊,連江縣,0
2015/10/1,新購,台北市,279
2015/10/1,新購,新北市,270
2015/10/1,新購,桃園市,225
2015/10/1,新購,台中市,11
2015/10/1,新購,台南市,8
2015/10/1,新購,高雄市,1
2015/10/1,新購,宜蘭縣,1
2015/10/1,新購,新竹縣,2
2015/10/1,新購,苗栗縣,1
2015/10/1,新購,彰化縣,0
2015/10/1,新購,南投縣,0
2015/10/1,新購,雲林縣,9
2015/10/1,新購,嘉義縣,2
2015/10/1,新購,屏東縣,2
