city,time,moea_app
臺北市,2010/06/1,3
臺北市,2010/07/1,47
臺北市,2010/08/1,133
臺北市,2010/09/1,176
臺北市,2010/10/1,89
臺北市,2010/11/1,217
臺北市,2010/12/1,96
臺北市,2011/02/1,267
臺北市,2011/03/1,231
臺北市,2011/04/1,126
臺北市,2011/05/1,134
臺北市,2011/06/1,88
臺北市,2011/07/1,172
臺北市,2011/08/1,135
臺北市,2011/09/1,131
臺北市,2011/10/1,50
臺北市,2011/11/1,161
臺北市,2011/12/1,179
臺北市,2012/01/1,3
臺北市,2012/02/1,50
臺北市,2012/03/1,45
臺北市,2012/04/1,33
臺北市,2012/05/1,39
臺北市,2012/06/1,20
臺北市,2012/07/1,53
臺北市,2012/08/1,94
臺北市,2012/09/1,37
臺北市,2012/10/1,49
臺北市,2012/11/1,40
臺北市,2012/12/1,43
臺北市,2013/01/1,7
臺北市,2013/02/1,41
臺北市,2013/03/1,26
臺北市,2013/04/1,65
臺北市,2013/05/1,38
臺北市,2013/06/1,26
臺北市,2013/07/1,40
臺北市,2013/08/1,40
臺北市,2013/09/1,15
臺北市,2013/10/1,71
臺北市,2013/11/1,74
臺北市,2013/12/1,20
臺北市,2014/09/1,70
臺北市,2014/10/1,64
臺北市,2014/11/1,93
臺北市,2014/12/1,64
臺北市,2015/03/1,71
臺北市,2015/04/1,16
臺北市,2015/05/1,37
臺北市,2015/06/1,6
臺北市,2015/07/1,38
臺北市,2015/08/1,102
臺北市,2015/09/1,161
臺北市,2015/10/1,258
臺北市,2015/11/1,276
臺北市,2015/12/1,335
臺北市,2016/01/1,205
臺北市,2016/02/1,140
臺北市,2016/03/1,120
臺北市,2016/04/1,89
臺北市,2016/05/1,94
臺北市,2016/06/1,102
臺北市,2016/07/1,37
臺北市,2016/08/1,106
臺北市,2016/09/1,261
臺北市,2016/10/1,215
臺北市,2016/11/1,354
臺北市,2016/12/1,30
臺北市,2017/02/1,154
臺北市,2017/03/1,217
臺北市,2017/04/1,183
臺北市,2017/05/1,115
臺北市,2017/06/1,52
臺北市,2017/07/1,166
臺北市,2017/08/1,307
臺北市,2017/09/1,330
臺北市,2017/10/1,501
臺北市,2017/11/1,1259
臺北市,2017/12/1,252
臺北市,2018/02/1,240
臺北市,2018/03/1,441
臺北市,2018/04/1,1338
臺北市,2018/05/1,353
臺北市,2018/06/1,311
臺北市,2018/07/1,388
臺北市,2018/08/1,1872
臺北市,2018/09/1,382
臺北市,2018/10/1,698
臺北市,2018/11/1,535
臺北市,2018/12/1,342
臺北市,2019/01/1,353
臺北市,2019/02/1,324
臺北市,2019/03/1,774
臺北市,2019/04/1,682
臺北市,2019/05/1,646
臺北市,2019/06/1,656
臺北市,2019/07/1,866
臺北市,2019/08/1,787
臺北市,2019/09/1,691
臺北市,2019/10/1,1112
臺北市,2019/11/1,1754
臺北市,2019/12/1,11009
