time,fuel,city,registration
2012/9/1,Gasoline,New Taipei City,"2,355,607"
2012/9/1,Gasoline,Taipei City,"1,097,259"
2012/9/1,Gasoline,Taoyuan City,"1,149,447"
2012/9/1,Gasoline,Taichung City,"1,749,838"
2012/9/1,Gasoline,Tainan City,"1,436,350"
2012/9/1,Gasoline,Kaohsiung City,"2,280,799"
2012/9/1,Gasoline,Yilan County,"297,198"
2012/9/1,Gasoline,Hsinchu County,"290,298"
2012/9/1,Gasoline,Miaoli County,"361,246"
2012/9/1,Gasoline,Changhua County,"921,577"
2012/9/1,Gasoline,Nantou County,"357,695"
2012/9/1,Gasoline,Yunlin County,"491,237"
2012/9/1,Gasoline,Chiayi County,"373,111"
2012/9/1,Gasoline,Pingtung County,"705,024"
2012/9/1,Gasoline,Taitung County,"176,124"
2012/9/1,Gasoline,Hualien County,"243,777"
2012/9/1,Gasoline,Penghu County,"71,202"
2012/9/1,Gasoline,Keelung City,"194,963"
2012/9/1,Gasoline,Hsinchu City,"270,859"
2012/9/1,Gasoline,Chiayi City,"203,676"
2012/9/1,Gasoline,Kinmen County,"45,896"
2012/9/1,Gasoline,Lienchiang County,"5,122"
2012/9/1,Electricity,New Taipei City,"6,018"
2012/9/1,Electricity,Taipei City,"3,313"
2012/9/1,Electricity,Taoyuan City,"3,382"
2012/9/1,Electricity,Taichung City,"2,354"
2012/9/1,Electricity,Tainan City,"2,196"
2012/9/1,Electricity,Kaohsiung City,"5,208"
2012/9/1,Electricity,Yilan County,220
2012/9/1,Electricity,Hsinchu County,470
2012/9/1,Electricity,Miaoli County,512
2012/9/1,Electricity,Changhua County,867
2012/9/1,Electricity,Nantou County,"1,023"
2012/9/1,Electricity,Yunlin County,457
2012/9/1,Electricity,Chiayi County,341
2012/9/1,Electricity,Pingtung County,903
2012/9/1,Electricity,Taitung County,158
2012/9/1,Electricity,Hualien County,187
2012/9/1,Electricity,Penghu County,"2,061"
2012/9/1,Electricity,Keelung City,156
2012/9/1,Electricity,Hsinchu City,520
2012/9/1,Electricity,Chiayi City,351
2012/9/1,Electricity,Kinmen County,147
2012/9/1,Electricity,Lienchiang County,4
2012/10/1,Gasoline,New Taipei City,"2,359,437"
2012/10/1,Gasoline,Taipei City,"1,097,714"
2012/10/1,Gasoline,Taoyuan City,"1,152,291"
2012/10/1,Gasoline,Taichung City,"1,753,472"
2012/10/1,Gasoline,Tainan City,"1,438,220"
2012/10/1,Gasoline,Kaohsiung City,"2,282,432"
2012/10/1,Gasoline,Yilan County,"297,601"
2012/10/1,Gasoline,Hsinchu County,"291,062"
2012/10/1,Gasoline,Miaoli County,"361,988"
2012/10/1,Gasoline,Changhua County,"922,703"
2012/10/1,Gasoline,Nantou County,"358,177"
2012/10/1,Gasoline,Yunlin County,"491,699"
2012/10/1,Gasoline,Chiayi County,"373,410"
2012/10/1,Gasoline,Pingtung County,"706,251"
2012/10/1,Gasoline,Taitung County,"176,055"
2012/10/1,Gasoline,Hualien County,"243,917"
2012/10/1,Gasoline,Penghu County,"71,220"
2012/10/1,Gasoline,Keelung City,"195,251"
2012/10/1,Gasoline,Hsinchu City,"271,003"
2012/10/1,Gasoline,Chiayi City,"203,762"
2012/10/1,Gasoline,Kinmen County,"46,195"
2012/10/1,Gasoline,Lienchiang County,"5,156"
2012/10/1,Electricity,New Taipei City,"6,007"
2012/10/1,Electricity,Taipei City,"3,362"
2012/10/1,Electricity,Taoyuan City,"3,543"
2012/10/1,Electricity,Taichung City,"2,411"
2012/10/1,Electricity,Tainan City,"2,263"
2012/10/1,Electricity,Kaohsiung City,"5,309"
2012/10/1,Electricity,Yilan County,235
2012/10/1,Electricity,Hsinchu County,472
2012/10/1,Electricity,Miaoli County,520
2012/10/1,Electricity,Changhua County,894
2012/10/1,Electricity,Nantou County,"1,045"
2012/10/1,Electricity,Yunlin County,465
