time,city,type,epa_amt,local_amt,moea_amt
2015/8/1,新北市,新購,5000,10000,10000
2015/9/1,新北市,新購,5000,10000,10000
2015/10/1,新北市,新購,5000,10000,10000
2015/11/1,新北市,新購,5000,10000,10000
2015/12/1,新北市,新購,5000,10000,10000
2016/1/1,新北市,新購,4000,10000,10000
2016/2/1,新北市,新購,4000,10000,10000
2016/3/1,新北市,新購,4000,10000,10000
2016/4/1,新北市,新購,4000,10000,10000
2016/5/1,新北市,新購,4000,10000,10000
2016/6/1,新北市,新購,4000,10000,10000
2016/7/1,新北市,新購,4000,10000,10000
2016/8/1,新北市,新購,4000,10000,10000
2016/9/1,新北市,新購,4000,10000,10000
2016/10/1,新北市,新購,4000,10000,10000
2016/11/1,新北市,新購,4000,10000,10000
2016/12/1,新北市,新購,4000,10000,10000
2017/1/1,新北市,新購,4000,10000,10000
2017/2/1,新北市,新購,4000,10000,10000
2017/3/1,新北市,新購,4000,10000,10000
2017/4/1,新北市,新購,4000,10000,10000
2017/5/1,新北市,新購,4000,10000,10000
2017/6/1,新北市,新購,4000,10000,10000
2017/7/1,新北市,新購,4000,10000,10000
2017/8/1,新北市,新購,4000,10000,10000
2017/9/1,新北市,新購,4000,10000,10000
2017/10/1,新北市,新購,4000,10000,10000
2017/11/1,新北市,新購,4000,10000,10000
2017/12/1,新北市,新購,3500,10000,10000
2018/1/1,新北市,新購,3500,8000,10000
2018/2/1,新北市,新購,3500,8000,10000
2018/3/1,新北市,新購,3500,8000,10000
2018/4/1,新北市,新購,3500,8000,10000
2018/5/1,新北市,新購,3500,8000,10000
2018/6/1,新北市,新購,3500,8000,10000
2018/7/1,新北市,新購,3500,8000,10000
2018/8/1,新北市,新購,3500,8000,10000
2018/9/1,新北市,新購,3500,8000,10000
2018/10/1,新北市,新購,3500,8000,10000
2018/11/1,新北市,新購,3500,8000,10000
2018/12/1,新北市,新購,3500,8000,10000
2019/1/1,新北市,新購,3000,8000,10000
2019/2/1,新北市,新購,3000,8000,10000
2019/3/1,新北市,新購,3000,8000,10000
2019/4/1,新北市,新購,3000,8000,10000
2019/5/1,新北市,新購,3000,8000,10000
2019/6/1,新北市,新購,3000,8000,10000
2019/7/1,新北市,新購,3000,8000,10000
2019/8/1,新北市,新購,3000,8000,10000
2019/9/1,新北市,新購,3000,8000,10000
2019/10/1,新北市,新購,3000,8000,10000
2019/11/1,新北市,新購,3000,8000,10000
2019/12/1,新北市,新購,3000,8000,10000
2015/8/1,臺北市,新購,5000,0,10000
2015/9/1,臺北市,新購,5000,0,10000
2015/10/1,臺北市,新購,5000,0,10000
2015/11/1,臺北市,新購,5000,0,10000
2015/12/1,臺北市,新購,5000,0,10000
2016/1/1,臺北市,新購,4000,0,10000
2016/2/1,臺北市,新購,4000,0,10000
2016/3/1,臺北市,新購,4000,0,10000
2016/4/1,臺北市,新購,4000,0,10000
2016/5/1,臺北市,新購,4000,0,10000
2016/6/1,臺北市,新購,4000,0,10000
2016/7/1,臺北市,新購,4000,0,10000
2016/8/1,臺北市,新購,4000,0,10000
2016/9/1,臺北市,新購,4000,0,10000
2016/10/1,臺北市,新購,4000,0,10000
2016/11/1,臺北市,新購,4000,0,10000
2016/12/1,臺北市,新購,4000,0,10000
2017/1/1,臺北市,新購,4000,0,10000
2017/2/1,臺北市,新購,4000,0,10000
2017/3/1,臺北市,新購,4000,0,10000
2017/4/1,臺北市,新購,4000,0,10000
2017/5/1,臺北市,新購,4000,0,10000
2017/6/1,臺北市,新購,4000,0,10000
2017/7/1,臺北市,新購,4000,0,10000
2017/8/1,臺北市,新購,4000,0,10000
2017/9/1,臺北市,新購,4000,0,10000
2017/10/1,臺北市,新購,4000,0,10000
2017/11/1,臺北市,新購,4000,0,10000
2017/12/1,臺北市,新購,3500,0,10000
2018/1/1,臺北市,新購,3500,0,10000
2018/2/1,臺北市,新購,3500,0,10000
2018/3/1,臺北市,新購,3500,0,10000
2018/4/1,臺北市,新購,3500,0,10000
2018/5/1,臺北市,新購,3500,0,10000
2018/6/1,臺北市,新購,3500,0,10000
2018/7/1,臺北市,新購,3500,0,10000
2018/8/1,臺北市,新購,3500,0,10000
2018/9/1,臺北市,新購,3500,0,10000
2018/10/1,臺北市,新購,3500,0,10000
2018/11/1,臺北市,新購,3500,0,10000
2018/12/1,臺北市,新購,3500,0,10000
2019/1/1,臺北市,新購,3000,0,10000
2019/2/1,臺北市,新購,3000,0,10000
2019/3/1,臺北市,新購,3000,0,10000
2019/4/1,臺北市,新購,3000,0,10000
2019/5/1,臺北市,新購,3000,0,10000
2019/6/1,臺北市,新購,3000,0,10000
2019/7/1,臺北市,新購,3000,0,10000
2019/8/1,臺北市,新購,3000,0,10000
2019/9/1,臺北市,新購,3000,0,10000
2019/10/1,臺北市,新購,3000,0,10000
2019/11/1,臺北市,新購,3000,0,10000
2019/12/1,臺北市,新購,3000,0,10000
2015/8/1,桃園市,新購,5000,11000,10000
2015/9/1,桃園市,新購,5000,11000,10000
2015/10/1,桃園市,新購,5000,11000,10000
2015/11/1,桃園市,新購,5000,11000,10000
2015/12/1,桃園市,新購,5000,11000,10000
2016/1/1,桃園市,新購,4000,11000,10000
2016/2/1,桃園市,新購,4000,11000,10000
2016/3/1,桃園市,新購,4000,11000,10000
2016/4/1,桃園市,新購,4000,11000,10000
2016/5/1,桃園市,新購,4000,11000,10000
2016/6/1,桃園市,新購,4000,11000,10000
2016/7/1,桃園市,新購,4000,11000,10000
2016/8/1,桃園市,新購,4000,11000,10000
2016/9/1,桃園市,新購,4000,11000,10000
2016/10/1,桃園市,新購,4000,11000,10000
2016/11/1,桃園市,新購,4000,11000,10000
2016/12/1,桃園市,新購,4000,11000,10000
2017/1/1,桃園市,新購,4000,15000,10000
2017/2/1,桃園市,新購,4000,15000,10000
2017/3/1,桃園市,新購,4000,15000,10000
2017/4/1,桃園市,新購,4000,15000,10000
2017/5/1,桃園市,新購,4000,15000,10000
2017/6/1,桃園市,新購,4000,15000,10000
2017/7/1,桃園市,新購,4000,15000,10000
2017/8/1,桃園市,新購,4000,15000,10000
